preprocessing,embeddings,acc,micro_p,micro_r,micro_f1,macro_f1
[],,0.8454177401545823,0.8752158894645942,0.8957136544410075,0.8853461454466041,0.8074040006728587
[],deps,0.8439455281560545,0.8797025371828522,0.8886433937251436,0.8841503627170807,0.8089955171569476
[],pos_tags,0.8259109311740891,0.8794582392776523,0.8608042421564295,0.8700312639571236,0.7936163182627054
[],pos_tags deps,0.8498343761501657,0.8742004264392325,0.9058771542200619,0.8897569444444444,0.8173537716776438
[],sk,0.8406330511593669,0.8881431767337807,0.8771542200618648,0.8826144953312584,0.8121435897706659
[],sk  deps,0.847258005152742,0.8791304347826087,0.8935041979673001,0.886259040105194,0.8159156622804491
[],sk pos_tags,0.8410011041589989,0.8823529411764706,0.8815731330092798,0.8819628647214853,0.8122076863497971
[],sk pos_tags deps,0.8373205741626795,0.8863432165318957,0.8718515245249668,0.8790376475829806,0.8060126791080512
[],position,0.8362164151637835,0.8921256258534365,0.8661069376933275,0.8789237668161435,0.7997673366419861
[],position   deps,0.8428413691571587,0.8652542372881356,0.9023420238621299,0.8834090417477827,0.8071654520687546
[],position  pos_tags,0.8435774751564226,0.8656527249683144,0.9054352629253204,0.8850971922246221,0.8097449511447499
[],position  pos_tags deps,0.8255428781744572,0.9029815428300993,0.8431285903667698,0.8720292504570384,0.7908708068113476
[],position sk,0.8424733161575266,0.8759219088937094,0.8921785240830755,0.8839754816112084,0.8121112036446876
[],position sk  deps,0.8376886271623114,0.8887387387387388,0.8718515245249668,0.8802141423154137,0.8102319176715315
[],position sk pos_tags,0.8358483621641516,0.8826940231935771,0.8745028722934158,0.8785793562708102,0.8088835188529996
[],position sk pos_tags deps,0.8387927861612072,0.8695464362850972,0.8895271763146266,0.8794233289646134,0.8056861444175136
['sw'],,0.7949944792050055,0.833112582781457,0.8338488731771984,0.8334805653710247,0.7531100854918968
['sw'],deps,0.784320942215679,0.8418647166361974,0.8139637649138312,0.8276791732195012,0.7502551932532648
['sw'],pos_tags,0.7788001472211998,0.8432457353619179,0.8082191780821918,0.825361010830325,0.7385421705767117
['sw'],pos_tags deps,0.7876334192123666,0.8105485232067511,0.8488731771984092,0.8292682926829269,0.7494444948765805
['sw'],sk,0.7824806772175193,0.82,0.8334069818824569,0.826649134341442,0.7596443238461751
['sw'],sk  deps,0.7865292602134707,0.8161668839634941,0.8298718515245249,0.8229623137598597,0.7641878242466285
['sw'],sk pos_tags,0.7868973132131026,0.81053525913339,0.8431285903667698,0.8265107212475633,0.7683601157562124
['sw'],sk pos_tags deps,0.7788001472211998,0.8238180196253345,0.8161732213875387,0.8199778024417315,0.751520826272293
['sw'],position,0.7718071402281929,0.8541367766618843,0.7892178524083076,0.8203950390445567,0.7370618527284915
['sw'],position   deps,0.7865292602134707,0.8055555555555556,0.8585947856827221,0.8312299465240642,0.7583254736266779
['sw'],position  pos_tags,0.7854251012145749,0.8046121593291404,0.8479893946089262,0.8257314974182444,0.7570967394250105
['sw'],position  pos_tags deps,0.7868973132131026,0.8495370370370371,0.8108705258506408,0.8297535609314945,0.7572372377361907
['sw'],position sk,0.7964666912035333,0.8228987993138936,0.8479893946089262,0.8352557127312296,0.7724358832274107
['sw'],position sk  deps,0.7740154582259845,0.8145869947275922,0.8192664604507292,0.8169200264375412,0.7505750074232158
['sw'],position sk pos_tags,0.7832167832167832,0.827708703374778,0.8236853733981441,0.8256921373200443,0.7599527426247136
['sw'],position sk pos_tags deps,0.7857931542142068,0.8296362023070097,0.8263367211665931,0.8279831746734558,0.7592240861821404
['d'],,0.8421052631578947,0.8841544607190412,0.8802474591250552,0.8821966341895483,0.7972615837029894
['d'],deps,0.8413691571586308,0.872870249017038,0.8828988068935042,0.8778558875219683,0.8074775031976013
['d'],pos_tags,0.8376886271623114,0.8837416481069043,0.8767123287671232,0.8802129547471162,0.8012826415786861
['d'],pos_tags deps,0.8439455281560545,0.8772687986171133,0.897039328325232,0.8870439152283155,0.8123879611901552
['d'],sk,0.8329039381670961,0.8831168831168831,0.8714096332302254,0.8772241992882561,0.8030029482599904
['d'],sk  deps,0.8494663231505337,0.8791161178509532,0.8965974370304906,0.8877707285057974,0.8186373472724606
['d'],sk pos_tags,0.8527788001472212,0.8867016622922135,0.8957136544410075,0.8911848757968784,0.8229145311081225
['d'],sk pos_tags deps,0.8343761501656238,0.875054993400792,0.8789217852408308,0.876984126984127,0.8054951967538593
['d'],position,0.8325358851674641,0.8839205058717254,0.8647812638091029,0.8742461469734196,0.8007128896739996
['d'],position   deps,0.8524107471475892,0.8732037193575655,0.9129474149359258,0.8926333981421474,0.8194923242968833
['d'],position  pos_tags,0.8443135811556864,0.8729613733905579,0.898806893504198,0.8856956237753102,0.8129327107254701
['d'],position  pos_tags deps,0.8391608391608392,0.8977533241632278,0.8652231551038444,0.8811881188118811,0.8080141703897243
['d'],position sk,0.8450496871549503,0.8884940026654821,0.8837825894829872,0.8861320336730174,0.8092902999723366
['d'],position sk  deps,0.8351122561648877,0.8847533632286996,0.8718515245249668,0.8782550634320053,0.8067461070315978
['d'],position sk pos_tags,0.8369525211630475,0.8903985507246377,0.8687582854617764,0.8794453142473719,0.8067068699125487
['d'],position sk pos_tags deps,0.8365844681634156,0.864957264957265,0.894387980556783,0.8794264610036933,0.803357085497955
['b'],,0.8410011041589989,0.8762527233115468,0.8886433937251436,0.8824045634050022,0.8002316004990682
['b'],deps,0.8362164151637835,0.8712914485165794,0.8824569155987627,0.8768386388583973,0.8040982044104573
['b'],pos_tags,0.839896945160103,0.890990990990991,0.8740609809986744,0.8824447914343074,0.810619166072991
['b'],pos_tags deps,0.8498343761501657,0.8859764089121888,0.896155545735749,0.8910369068541301,0.8191759779720093
['b'],sk,0.8424733161575266,0.8945701357466064,0.8736190897039329,0.8839704896042925,0.8123875434901804
['b'],sk  deps,0.83364004416636,0.8741750989881214,0.8780380026513478,0.8761022927689596,0.797907649371391
['b'],sk pos_tags,0.8406330511593669,0.8765323992994746,0.8846663720724701,0.8805806025951176,0.8098791817741122
['b'],sk pos_tags deps,0.8410011041589989,0.8899865289627301,0.8758285461776403,0.8828507795100223,0.8134044232037618
['b'],position,0.8362164151637835,0.8773250664304695,0.8753866548828988,0.8763547887635479,0.8028991939149573
['b'],position   deps,0.8446816341553184,0.8683986371379898,0.9010163499779055,0.884406853177185,0.8055461631684642
['b'],position  pos_tags,0.8417372101582627,0.872093023255814,0.8948298718515245,0.8833151581243184,0.8064726110023082
['b'],position  pos_tags deps,0.8303275671696725,0.8989287377736377,0.8528501988510826,0.8752834467120182,0.7974813688140922
['b'],position sk,0.8391608391608392,0.8784021071115014,0.8842244807777286,0.881303677604052,0.8073672019115398
['b'],position sk  deps,0.8299595141700404,0.8894472361809045,0.860362350861688,0.8746630727762803,0.8005130595170686
['b'],position sk pos_tags,0.8340080971659919,0.8841490794791199,0.8700839593460009,0.8770601336302896,0.8085780036094952
['b'],position sk pos_tags deps,0.8351122561648877,0.8714036617262424,0.8833406981882457,0.8773315777924072,0.7993752285154776
['p'],,0.8376886271623114,0.8856121537086684,0.8758285461776403,0.8806931792934902,0.7993871820487608
['p'],deps,0.8443135811556864,0.8866162738995109,0.8811312417145383,0.8838652482269503,0.8043295328227176
['p'],pos_tags,0.8406330511593669,0.8643628509719222,0.8842244807777286,0.8741808650065529,0.8054509895095696
['p'],pos_tags deps,0.8479941111520058,0.86892177589852,0.9080866106937693,0.8880726015557476,0.8079833908607696
['p'],sk,0.8351122561648877,0.8938979963570127,0.8674326115775519,0.880466472303207,0.8065706915246388
['p'],sk  deps,0.8443135811556864,0.8793554006968641,0.8921785240830755,0.8857205527527967,0.8113998309550583
['p'],sk pos_tags,0.8483621641516378,0.8837614279494993,0.897039328325232,0.8903508771929824,0.8169092401039709
['p'],sk pos_tags deps,0.8284873021715127,0.8748890860692103,0.8714096332302254,0.873145893292008,0.8007063849869474
['p'],position,0.8439455281560545,0.8757628596338274,0.8877596111356606,0.8817204301075269,0.806435172908067
['p'],position   deps,0.8457857931542142,0.8696390658174098,0.9049933716305789,0.8869640537029017,0.8073731058372609
['p'],position  pos_tags,0.8476260581523739,0.8753760206274173,0.9001325673884224,0.8875816993464052,0.8132768610816681
['p'],position  pos_tags deps,0.8432094221567906,0.894429469901168,0.8798055678303137,0.887057251058142,0.8025329982327871
['p'],position sk,0.8446816341553184,0.873015873015873,0.8992487847989394,0.8859381802350892,0.8134497414343008
['p'],position sk  deps,0.8281192491718807,0.8794642857142857,0.8705258506407424,0.8749722407284033,0.8032964657017768
['p'],position sk pos_tags,0.8358483621641516,0.8866396761133604,0.8709677419354839,0.8787338386090059,0.8070222297967958
['p'],position sk pos_tags deps,0.8454177401545823,0.8752158894645942,0.8957136544410075,0.8853461454466041,0.8087557983276985
['eb'],,0.7596613912403386,0.8086767895878525,0.8236853733981441,0.8161120840630472,0.7244868349181974
['eb'],deps,0.7633419212366581,0.8361556064073227,0.8073353954927088,0.8214928057553957,0.7152138985315017
['eb'],pos_tags,0.743099006256901,0.8437047756874095,0.7728678745028723,0.8067343173431735,0.7033995348738725
['eb'],pos_tags deps,0.7648141332351859,0.8124729320051971,0.828988068935042,0.820647419072616,0.7256313881390077
['eb'],sk,0.8071402281928598,0.8620535714285714,0.8532920901458241,0.8576504552520543,0.7763826839812591
['eb'],sk  deps,0.8097165991902834,0.860248447204969,0.856827220503756,0.8585344255036529,0.7763044221753396
['eb'],sk pos_tags,0.8034596981965403,0.8528501988510826,0.8528501988510826,0.8528501988510826,0.7682094833242888
['eb'],sk pos_tags deps,0.7960986382039014,0.8736596736596737,0.828104286345559,0.8502722323049001,0.7667119013777713
['eb'],position,0.7552447552447552,0.845861084681256,0.7856827220503756,0.8146620847651775,0.7152858628977244
['eb'],position   deps,0.7662863452337136,0.8064791133844842,0.8360583296509059,0.8210023866348448,0.7301280981624106
['eb'],position  pos_tags,0.7703349282296651,0.8198866114260793,0.830755634114008,0.8252853380158033,0.7332180722987387
['eb'],position  pos_tags deps,0.7541405962458594,0.8126390743213173,0.8068935041979673,0.8097560975609756,0.714172987394181
['eb'],position sk,0.7964666912035333,0.8486725663716814,0.8475475033141847,0.8481096617289409,0.7678791140339051
['eb'],position sk  deps,0.7924181082075819,0.8756501182033097,0.8183826778612462,0.8460484239378712,0.763419023532721
['eb'],position sk pos_tags,0.7979389032020611,0.8764044943820225,0.827220503756076,0.8511025233007502,0.7655385203197471
['eb'],position sk pos_tags deps,0.8089804931910195,0.8558836491846629,0.8581528943879806,0.8570167696381288,0.7727840047984319
['nb'],,0.7662863452337136,0.8150714595062798,0.831639416703491,0.8232720909886265,0.7245565944395047
['nb'],deps,0.7684946632315053,0.8244206773618539,0.8174988952717631,0.8209451963612158,0.7195807872396742
['nb'],pos_tags,0.7666543982333456,0.8289058982440343,0.8135218736190897,0.8211418376449598,0.7181786586131953
['nb'],pos_tags deps,0.7754876702245124,0.816116588084012,0.8413610251878038,0.8285465622280245,0.7328681469727596
